[ MISSION LOG ] (14:51:25 2017/04/23) New mission initialized.
[ MISSION LOG ] (14:51:25 2017/04/23) Loaded goals from mission file.
[ MISSION LOG ] (14:51:25 2017/04/23) Mission time limit is 360 sec.
[ MISSION LOG ] (14:51:25 2017/04/23) Device: Small Valve @ Station D -- Rotate to [175] degrees.
[ MISSION LOG ] (14:51:25 2017/04/23) Device: BreakerBox A @ Station E -- Goals: switch 2
[ MISSION LOG ] (14:51:25 2017/04/23) Device: Small Valve @ Station D -- Rotate to [0] degrees.
[ MISSION LOG ] (14:51:25 2017/04/23) Device: BreakerBox A @ Station E -- Goals: switch 3
[ MISSION LOG ] (14:51:25 2017/04/23) Device: Small Valve @ Station D -- Rotate to [50] degrees.
[ MISSION LOG ] (14:51:29 2017/04/23) Starting task execution.
[ MISSION LOG ] (14:51:29 2017/04/23) Starting task execution.
    [ TASK LOG ] (14:51:29 2017/04/23) Move Task, X=165 Y=0 Orient=1 [complete]
    [ TASK LOG ] (14:51:29 2017/04/23) Move Task, X=165 Y=0 Orient=1 [complete]
    [ TASK LOG ] (14:51:29 2017/04/23) Capture Task, device is Small Valve at station D [skipped]
    [ TASK LOG ] (14:51:29 2017/04/23) Capture Task, device is Small Valve at station D [skipped]
    [ TASK LOG ] (14:51:41 2017/04/23) PositionTask, no reach needed. [aborted]
    [ TASK LOG ] (14:51:41 2017/04/23) PositionTask, no reach needed. [aborted]
    [ TASK LOG ] (14:51:45 2017/04/23) Align Task, Y=200 Z=200 [complete]
    [ TASK LOG ] (14:51:45 2017/04/23) Align Task, Y=200 Z=200 [complete]
    [ TASK LOG ] (14:51:45 2017/04/23) EngageTask, rotate 175 degrees [skipped]
    [ TASK LOG ] (14:51:45 2017/04/23) EngageTask, rotate 175 degrees [skipped]
    [ TASK LOG ] (14:51:46 2017/04/23) Move Task, X=0 Y=0 Orient=1 [complete]
    [ TASK LOG ] (14:51:46 2017/04/23) Move Task, X=0 Y=0 Orient=1 [complete]
    [ TASK LOG ] (14:51:46 2017/04/23) Capture Task, device is A at station E [skipped]
    [ TASK LOG ] (14:51:46 2017/04/23) Capture Task, device is A at station E [skipped]
    [ TASK LOG ] (14:51:47 2017/04/23) Align Task, Y=200 Z=200 [complete]
    [ TASK LOG ] (14:51:47 2017/04/23) Align Task, Y=200 Z=200 [complete]
    [ TASK LOG ] (14:51:48 2017/04/23) Move Task, X=20 Y=0 Orient=1 [complete]
    [ TASK LOG ] (14:51:48 2017/04/23) Move Task, X=20 Y=0 Orient=1 [complete]
    [ TASK LOG ] (14:52:00 2017/04/23) PositionTask, needs reach hebi engaged! [aborted]
    [ TASK LOG ] (14:52:00 2017/04/23) PositionTask, needs reach hebi engaged! [aborted]
    [ TASK LOG ] (14:52:02 2017/04/23) Align Task, Y=200 Z=200 [complete]
    [ TASK LOG ] (14:52:02 2017/04/23) Align Task, Y=200 Z=200 [complete]
    [ TASK LOG ] (14:52:02 2017/04/23) EngageTask, rotate 180 degrees [skipped]
    [ TASK LOG ] (14:52:02 2017/04/23) EngageTask, rotate 180 degrees [skipped]
    [ TASK LOG ] (14:52:04 2017/04/23) Align Task, Y=200 Z=200 [complete]
    [ TASK LOG ] (14:52:04 2017/04/23) Align Task, Y=200 Z=200 [complete]
    [ TASK LOG ] (14:52:05 2017/04/23) Move Task, X=165 Y=0 Orient=1 [complete]
    [ TASK LOG ] (14:52:05 2017/04/23) Capture Task, device is Small Valve at station D [skipped]
    [ TASK LOG ] (14:52:05 2017/04/23) Move Task, X=165 Y=0 Orient=1 [complete]
    [ TASK LOG ] (14:52:05 2017/04/23) Capture Task, device is Small Valve at station D [skipped]
    [ TASK LOG ] (14:52:16 2017/04/23) PositionTask, no reach needed. [aborted]
    [ TASK LOG ] (14:52:16 2017/04/23) PositionTask, no reach needed. [aborted]
    [ TASK LOG ] (14:52:18 2017/04/23) Align Task, Y=200 Z=200 [complete]
    [ TASK LOG ] (14:52:18 2017/04/23) Align Task, Y=200 Z=200 [complete]
    [ TASK LOG ] (14:52:18 2017/04/23) EngageTask, rotate 0 degrees [skipped]
    [ TASK LOG ] (14:52:18 2017/04/23) EngageTask, rotate 0 degrees [skipped]
    [ TASK LOG ] (14:52:19 2017/04/23) Move Task, X=0 Y=0 Orient=1 [complete]
    [ TASK LOG ] (14:52:19 2017/04/23) Move Task, X=0 Y=0 Orient=1 [complete]
    [ TASK LOG ] (14:52:19 2017/04/23) Capture Task, device is A at station E [skipped]
    [ TASK LOG ] (14:52:19 2017/04/23) Capture Task, device is A at station E [skipped]
    [ TASK LOG ] (14:52:19 2017/04/23) Align Task, Y=200 Z=200 [complete]
    [ TASK LOG ] (14:52:19 2017/04/23) Align Task, Y=200 Z=200 [complete]
    [ TASK LOG ] (14:52:20 2017/04/23) Move Task, X=30 Y=0 Orient=1 [complete]
    [ TASK LOG ] (14:52:20 2017/04/23) Move Task, X=30 Y=0 Orient=1 [complete]
    [ TASK LOG ] (14:52:32 2017/04/23) PositionTask, needs reach hebi engaged! [aborted]
    [ TASK LOG ] (14:52:32 2017/04/23) PositionTask, needs reach hebi engaged! [aborted]
    [ TASK LOG ] (14:52:33 2017/04/23) Align Task, Y=200 Z=200 [complete]
    [ TASK LOG ] (14:52:33 2017/04/23) Align Task, Y=200 Z=200 [complete]
    [ TASK LOG ] (14:52:33 2017/04/23) EngageTask, rotate 180 degrees [skipped]
    [ TASK LOG ] (14:52:33 2017/04/23) EngageTask, rotate 180 degrees [skipped]
    [ TASK LOG ] (14:52:35 2017/04/23) Align Task, Y=200 Z=200 [complete]
    [ TASK LOG ] (14:52:35 2017/04/23) Align Task, Y=200 Z=200 [complete]
    [ TASK LOG ] (14:52:36 2017/04/23) Move Task, X=165 Y=0 Orient=1 [complete]
    [ TASK LOG ] (14:52:36 2017/04/23) Move Task, X=165 Y=0 Orient=1 [complete]
    [ TASK LOG ] (14:52:36 2017/04/23) Capture Task, device is Small Valve at station D [skipped]
    [ TASK LOG ] (14:52:36 2017/04/23) Capture Task, device is Small Valve at station D [skipped]
    [ TASK LOG ] (14:52:47 2017/04/23) PositionTask, no reach needed. [aborted]
    [ TASK LOG ] (14:52:47 2017/04/23) PositionTask, no reach needed. [aborted]
    [ TASK LOG ] (14:52:49 2017/04/23) Align Task, Y=200 Z=200 [complete]
    [ TASK LOG ] (14:52:49 2017/04/23) Align Task, Y=200 Z=200 [complete]
    [ TASK LOG ] (14:52:49 2017/04/23) EngageTask, rotate 50 degrees [skipped]
    [ TASK LOG ] (14:52:49 2017/04/23) EngageTask, rotate 50 degrees [skipped]
[ MISSION LOG ] (14:52:49 2017/04/23) Task execution complete.
[ MISSION LOG ] (14:52:49 2017/04/23) Task execution complete.
